investor_id,sip_count,gap_days,status
INV000004,6,85.4,AT_RISK
INV000008,6,70.4,AT_RISK
INV000010,6,64.8,AT_RISK
INV000011,7,40.166666666666664,AT_RISK
INV000012,8,57.0,AT_RISK
INV000013,7,55.333333333333336,AT_RISK
INV000014,7,75.33333333333333,AT_RISK
INV000023,8,58.57142857142857,AT_RISK
INV000028,6,93.6,AT_RISK
INV000029,7,60.666666666666664,AT_RISK
INV000030,9,47.625,AT_RISK
INV000033,8,45.57142857142857,AT_RISK
INV000039,6,68.6,AT_RISK
INV000045,6,70.6,AT_RISK
INV000048,9,46.0,AT_RISK
INV000052,6,36.2,AT_RISK
INV000056,6,74.8,AT_RISK
INV000057,8,49.714285714285715,AT_RISK
INV000069,10,49.111111111111114,AT_RISK
INV000072,6,83.0,AT_RISK
INV000073,9,48.25,AT_RISK
INV000074,8,72.57142857142857,AT_RISK
INV000075,6,74.8,AT_RISK
INV000076,6,91.8,AT_RISK
INV000079,6,65.8,AT_RISK
INV000081,7,81.33333333333333,AT_RISK
INV000082,7,83.66666666666667,AT_RISK
INV000086,10,44.666666666666664,AT_RISK
INV000087,6,92.8,AT_RISK
INV000091,8,44.0,AT_RISK
INV000093,7,55.5,AT_RISK
INV000094,6,44.8,AT_RISK
INV000095,6,69.4,AT_RISK
INV000097,7,54.5,AT_RISK
INV000101,8,65.0,AT_RISK
INV000102,8,65.28571428571429,AT_RISK
INV000103,6,83.4,AT_RISK
INV000105,8,57.0,AT_RISK
INV000109,9,46.25,AT_RISK
INV000113,8,46.0,AT_RISK
INV000123,7,59.666666666666664,AT_RISK
INV000128,6,82.0,AT_RISK
INV000131,7,56.0,AT_RISK
INV000132,6,71.0,AT_RISK
INV000133,6,88.2,AT_RISK
INV000138,6,76.2,AT_RISK
INV000145,6,89.4,AT_RISK
INV000146,6,66.8,AT_RISK
INV000148,9,52.0,AT_RISK
INV000155,7,37.333333333333336,AT_RISK
INV000161,7,73.0,AT_RISK
INV000163,8,61.0,AT_RISK
INV000164,6,61.8,AT_RISK
INV000169,7,67.83333333333333,AT_RISK
INV000173,7,57.666666666666664,AT_RISK
INV000175,7,83.66666666666667,AT_RISK
INV000177,8,65.42857142857143,AT_RISK
INV000180,6,61.8,AT_RISK
INV000183,9,56.125,AT_RISK
INV000191,7,56.5,AT_RISK
INV000194,7,58.0,AT_RISK
INV000195,6,77.4,AT_RISK
INV000196,7,69.0,AT_RISK
INV000201,9,51.125,AT_RISK
INV000205,8,62.57142857142857,AT_RISK
INV000210,8,70.71428571428571,AT_RISK
INV000214,6,94.8,AT_RISK
INV000217,6,92.0,AT_RISK
INV000228,9,59.75,AT_RISK
INV000236,8,67.14285714285714,AT_RISK
INV000238,6,93.6,AT_RISK
INV000239,8,48.857142857142854,AT_RISK
INV000243,6,88.2,AT_RISK
INV000245,6,92.2,AT_RISK
INV000249,7,45.5,AT_RISK
INV000252,6,50.4,AT_RISK
INV000255,6,48.6,AT_RISK
INV000256,6,70.2,AT_RISK
INV000259,6,70.6,AT_RISK
INV000260,8,59.57142857142857,AT_RISK
INV000262,8,53.57142857142857,AT_RISK
INV000263,8,68.42857142857143,AT_RISK
INV000265,10,53.44444444444444,AT_RISK
INV000268,7,62.333333333333336,AT_RISK
INV000279,9,43.375,AT_RISK
INV000280,9,55.75,AT_RISK
INV000283,6,68.0,AT_RISK
INV000287,7,69.83333333333333,AT_RISK
INV000289,8,62.714285714285715,AT_RISK
INV000291,6,89.0,AT_RISK
INV000292,7,46.0,AT_RISK
INV000293,7,47.0,AT_RISK
INV000297,6,90.6,AT_RISK
INV000299,6,85.2,AT_RISK
INV000304,7,70.0,AT_RISK
INV000309,8,52.0,AT_RISK
INV000310,7,75.83333333333333,AT_RISK
INV000318,6,97.4,AT_RISK
INV000319,7,73.5,AT_RISK
INV000321,7,72.83333333333333,AT_RISK
INV000328,9,37.5,AT_RISK
INV000331,8,50.714285714285715,AT_RISK
INV000334,7,25.5,HEALTHY
INV000335,6,96.0,AT_RISK
INV000339,6,94.0,AT_RISK
INV000341,8,54.42857142857143,AT_RISK
INV000356,6,54.4,AT_RISK
INV000359,9,54.125,AT_RISK
INV000363,7,77.0,AT_RISK
INV000369,6,43.8,AT_RISK
INV000371,8,59.285714285714285,AT_RISK
INV000372,7,54.5,AT_RISK
INV000380,6,97.0,AT_RISK
INV000388,9,53.625,AT_RISK
INV000392,7,77.16666666666667,AT_RISK
INV000395,7,55.666666666666664,AT_RISK
INV000396,6,83.2,AT_RISK
INV000399,10,49.55555555555556,AT_RISK
INV000400,6,62.6,AT_RISK
INV000403,6,58.2,AT_RISK
INV000407,6,82.4,AT_RISK
INV000408,6,46.8,AT_RISK
INV000412,8,43.714285714285715,AT_RISK
INV000414,8,66.28571428571429,AT_RISK
INV000415,7,66.16666666666667,AT_RISK
INV000418,6,86.8,AT_RISK
INV000427,7,68.5,AT_RISK
INV000428,8,52.142857142857146,AT_RISK
INV000429,6,77.2,AT_RISK
INV000437,6,97.8,AT_RISK
INV000440,8,69.57142857142857,AT_RISK
INV000441,6,60.8,AT_RISK
INV000444,6,73.2,AT_RISK
INV000445,9,57.75,AT_RISK
INV000446,6,38.6,AT_RISK
INV000449,6,46.8,AT_RISK
INV000452,9,49.375,AT_RISK
INV000457,6,91.4,AT_RISK
INV000460,6,43.4,AT_RISK
INV000463,7,65.16666666666667,AT_RISK
INV000466,7,73.33333333333333,AT_RISK
INV000467,10,56.666666666666664,AT_RISK
INV000469,7,70.5,AT_RISK
INV000483,8,70.42857142857143,AT_RISK
INV000491,6,95.0,AT_RISK
INV000493,10,47.55555555555556,AT_RISK
INV000497,7,71.83333333333333,AT_RISK
INV000499,7,77.83333333333333,AT_RISK
INV000507,7,70.16666666666667,AT_RISK
INV000512,9,54.75,AT_RISK
INV000522,6,100.8,AT_RISK
INV000524,7,55.0,AT_RISK
INV000527,6,50.8,AT_RISK
INV000529,6,59.2,AT_RISK
INV000531,7,47.0,AT_RISK
INV000539,7,77.0,AT_RISK
INV000540,7,73.5,AT_RISK
INV000543,7,83.66666666666667,AT_RISK
INV000545,6,80.6,AT_RISK
INV000546,9,55.0,AT_RISK
INV000547,6,55.8,AT_RISK
INV000549,6,96.2,AT_RISK
INV000553,6,72.0,AT_RISK
INV000554,6,70.2,AT_RISK
INV000556,8,52.42857142857143,AT_RISK
INV000562,6,74.4,AT_RISK
INV000563,7,76.33333333333333,AT_RISK
INV000566,7,35.0,HEALTHY
INV000567,6,63.8,AT_RISK
INV000568,6,62.4,AT_RISK
INV000570,8,67.28571428571429,AT_RISK
INV000573,7,50.833333333333336,AT_RISK
INV000575,6,71.6,AT_RISK
INV000578,7,66.83333333333333,AT_RISK
INV000581,7,78.33333333333333,AT_RISK
INV000586,7,44.5,AT_RISK
INV000589,9,59.125,AT_RISK
INV000591,7,64.5,AT_RISK
INV000593,6,74.2,AT_RISK
INV000596,9,51.75,AT_RISK
INV000597,6,88.6,AT_RISK
INV000599,7,81.5,AT_RISK
INV000607,7,66.66666666666667,AT_RISK
INV000608,6,100.2,AT_RISK
INV000609,6,47.0,AT_RISK
INV000612,11,49.3,AT_RISK
INV000615,7,55.833333333333336,AT_RISK
INV000624,7,31.666666666666668,HEALTHY
INV000625,6,86.4,AT_RISK
INV000630,7,68.66666666666667,AT_RISK
INV000631,6,54.0,AT_RISK
INV000634,9,52.25,AT_RISK
INV000635,6,75.0,AT_RISK
INV000641,6,54.8,AT_RISK
INV000642,9,53.5,AT_RISK
INV000645,6,66.0,AT_RISK
INV000646,7,62.333333333333336,AT_RISK
INV000651,6,94.0,AT_RISK
INV000652,6,93.8,AT_RISK
INV000657,8,64.71428571428571,AT_RISK
INV000662,8,66.14285714285714,AT_RISK
INV000663,6,94.4,AT_RISK
INV000665,10,36.22222222222222,AT_RISK
INV000667,6,68.0,AT_RISK
INV000673,6,92.8,AT_RISK
INV000675,6,62.8,AT_RISK
INV000676,11,35.3,AT_RISK
INV000678,7,63.333333333333336,AT_RISK
INV000683,9,54.5,AT_RISK
INV000690,8,56.285714285714285,AT_RISK
INV000691,6,66.4,AT_RISK
INV000698,9,52.25,AT_RISK
INV000699,6,42.8,AT_RISK
INV000701,7,83.66666666666667,AT_RISK
INV000707,9,34.375,HEALTHY
INV000709,7,65.16666666666667,AT_RISK
INV000710,6,88.6,AT_RISK
INV000714,9,37.0,AT_RISK
INV000718,7,57.833333333333336,AT_RISK
INV000719,7,72.83333333333333,AT_RISK
INV000724,6,81.2,AT_RISK
INV000725,7,67.66666666666667,AT_RISK
INV000734,8,64.0,AT_RISK
INV000737,6,92.6,AT_RISK
INV000747,6,84.6,AT_RISK
INV000750,9,26.5,HEALTHY
